78,Mass Effect II,Mass Effect,United Arab Emirates,Banned likely due to possible homosexual relationships.
79,Mass Effect III,Mass Effect,United Arab Emirates,Banned likely due to possible homosexual relationships.
80,Max Payne,Max Payne,United Arab Emirates,Banned likely due to excessive violence and sexual themes. Ban was issued roughly three weeks after official release date.
81,Medal of Honor IVX: Warfighter,Medal of Honor,Pakistan,Banned for portraying Pakistanis negatively.
82,Mercenaries I: Playground of Destruction,Mercenaries I,South Korea,Banned to avoid increasing diplomatic tensions with North Korea. Later lifted.
83,Mortal Kombat,Mortal Kombat,Brazil,Banned because of high impact violence and depictions of cruelty.
84,Mortal Kombat,Mortal Kombat,Germany,Was banned because of high impact violence and cruelty.
85,Mortal Kombat,Mortal Kombat,South Korea,Banned because of violence and cruelty.
86,Mortal Kombat II,Mortal Kombat,Germany,Was banned because of high impact violence and cruelty.
87,Mortal Kombat III,Mortal Kombat,Germany,Was banned because of high impact violence and cruelty.
88,Mortyr,Mortyr,Germany,Was banned because of Nazi references.
89,NARC (2005),NARC,Australia,Banned due to drug use related to incentives and rewards.
90,NecroVisioN,NecroVisioN,Australia,Banned because of high impact graphic violence. A censored version was later released with an M rating.
91,Phantasmagoria,Phantasmagoria,Australia,Banned because of a scene involving rape/sexual violence.
92,Pokémon Trading Card Game,Pokémon Trading Card Game,Saudi Arabia,Banned because of promotion Zionism
93,Postal,Postal,Australia,Banned due to depictions of revolting and abhorrent content.
94,Postal,Postal,China,Both banned because of high impact violence and offensive depictions of cruelty.
95,Postal II,Postal,Australia,Originally released unrated to some retail stores in Australia. When picked up for publishing in Australia it was banned because of excessive abhorrent and revolting content. The game and its expansions became available for purchase in the Steam store in 2012 without classification. It is yet to be taken down.
96,Postal II,Postal,New Zealand,Banned because of gory violence.
97,Postal II Demo Game,Postal,New Zealand,Banned for the use of urine in association with degrading and dehumanising conduct and to tend to promote and support the infliction of extreme violence and extreme cruelty.
98,RapeLay,RapeLay,Argentina,Banned because the object of the game is to stalk and rape a woman and her two daughters at least one of whom appears to be underage.
99,RapeLay,RapeLay,Indonesia,Excessive pornography and sexual violence.
100,RapeLay,RapeLay,New Zealand,Banned because it promotes and supports the exploitation of young persons for sexual purposes and the use of violence to compel a person to submit to sexual conduct.
101,Red Dead Redemption,Red Dead Redemption,Saudi Arabia,Banned due to nudity prostitution violence and cruelty.
102,Red Dead Redemption,Red Dead Redemption,United Arab Emirates,Initially banned likely due to nudity. Ban later lifted circa two months after official release date.
103,Requiem: Avenging Angel,Requiem: Avenging Angel,Brazil,Banned because of high impact violence.
104,Reservoir Dogs,Reservoir Dogs,Australia,Banned because of high impact violence and disturbing scenes of torture.
105,Reservoir Dogs,Reservoir Dogs,New Zealand,Banned because of high impact violence and cruelty.
106,Risen,Risen,Australia,Banned because of sexual activity and drug use related to incentives and rewards.
107,Saints Row III,Saints Row,United Arab Emirates,Banned likely due to sexual themes excessive violence and for the use of drugs and alcohol. Ban did not extend to digital versions of the games however.
108,Saints Row IV,Saints Row,Australia,Banned because of sexual violence and drug use related to incentives/rewards. An appeal was lodged but failed. An edited version was released lacking said content.
